iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.9292252004883939,0.9290453826157051,0.8910269558709762,0.8904171338204139,0.00014390614984177274,0.0009280916789213653,-8.149336709555509e-05,3.618117486600455e-05,-21433.06159748961,-21383.254792272237,-21409.468866751136,-21857.027149050267,-21856.71859333351
1,0.9486219040601803,0.9486439045396778,0.9253640952037625,0.9261801867883781,0.9062054999025022,0.9063404384838929,0.00025115161919403575,-0.00044952046204701276,-21612.152203982358,-21556.805282712416,-21578.18566126556,-21583.605929984602,-22052.426195099324
2,0.9564400087266163,0.9564798214428667,0.9564400087266163,0.9564798214428667,0.9215208187463476,0.9215161685950797,0.9215208187463476,0.9215161685950797,-21848.18561234568,-21808.8548008748,-21808.85489969911,-21836.502969071313,-21836.501215609336
3,0.9369609284980193,0.937369757699855,0.9369609284980193,0.937369757699855,0.009293560118463941,0.008942252570282121,-4.125881809254967e-06,2.8911482677203326e-05,-21445.20962451297,-21400.74096337592,-21400.72309884485,-21810.546230624146,-21807.910611108087
4,0.9330790848476952,0.9329195807706047,0.9330790848476952,0.9329195807706047,0.0007436075991639412,-0.0005302744637587735,0.0007436075991639412,-0.0005302744637587735,-21485.41287265596,-21430.157981621225,-21430.132089021896,-21807.268552262114,-21807.365107668214
5,0.9525284215035339,0.9526308219449614,0.9525284215035339,0.9526308219449614,0.00021052504947338663,8.16640245952827e-05,0.00021052504947338663,-0.0001538979464242774,-21315.48497409031,-21277.626474493907,-21277.545721824918,-21703.086962873236,-21702.593444150956
6,0.9564360796876564,0.9564712520028198,0.9564360796876564,0.9564712520028198,0.02235857979700031,0.041415490183750354,0.018456111278971263,0.030262395810040893,-21668.888220888908,-21628.854127593342,-21628.86187121716,-22112.373662006434,-22112.596393603497
7,0.9176816746211189,0.9174512513042699,0.9176816746211189,0.9174512513042699,0.0647014684313117,0.06301107578453409,3.495417796964485e-05,-0.0008843831942978737,-21451.48912662629,-21389.655400392756,-21389.59527245017,-21850.03239439052,-21849.540844665557
8,0.9642881441436455,0.964079433836772,0.9642881441436455,0.964079433836772,0.9486244172560955,0.9484024212375349,0.9486244172560955,0.9484024212375349,-21464.097164216248,-21438.26591168795,-21438.27301919196,-21471.70709223384,-21471.70709167587
9,0.9408408065204812,0.9406441882945785,0.929225201169193,0.9289674055377946,0.06869553065206183,0.12315060854426232,0.00032401517260384526,0.0007120799355403256,-21283.72716159031,-21239.891464449687,-21238.70056762938,-21695.874088277087,-21706.606981557776
10,0.9447287086281642,0.9447236190350351,0.9486246103474284,0.9486428216387672,0.8684923959391265,0.8706159117294486,0.00010517471952998908,8.08721249959564e-05,-21604.560735488667,-21570.082355226165,-21570.947261324865,-21608.43240778016,-21968.88758938046
11,0.005504880034030086,0.00564186340858632,-0.004815866578269794,-0.007869464251432782,0.0007028972122879039,-0.0005498711313239549,0.0004696505908140935,-0.00067102638959507,-21555.366243941946,-21851.37469200053,-21848.68502418527,-21854.929630590508,-21854.56276559
12,0.9525011965976127,0.9525219094990028,0.9525011965976127,0.9525219094990028,0.8872008725440149,0.8867953363708437,0.8872008725440149,0.8867953363708437,-21694.90310703096,-21643.24582272327,-21643.733062710926,-21676.94029801398,-21676.940298026704
13,0.9369404290389839,0.9377239620539243,0.007464153724025873,0.0040677356039822785,0.000618894900913035,0.0008772364573524309,0.000618894900913035,0.0008772364573524309,-21448.46723177465,-21399.95179433407,-21763.742057070984,-21766.44824073454,-21766.48867561491
14,0.9253693317591397,0.9248854006380245,0.9253693317591397,0.9248854006380245,0.0902943090829219,0.09805691420880555,-0.00013344654422342483,-0.0010213452814961178,-21815.79515153633,-21769.123011999953,-21769.05202883333,-22181.345870517824,-22181.505894077458
15,0.9408390514228814,0.9410452936011323,0.9408390514228814,0.9410452936011323,0.90240084328032,0.9025819746297978,0.90240084328032,0.9025819746297978,-21439.87975162629,-21394.891543429312,-21394.892862981396,-21423.97902926292,-21423.97902931573
16,0.9408392339781891,0.9405537757802618,0.009575954390308323,0.0024865194078474537,0.0,0.0,-0.0002396952540057818,-0.0004793867439220036,-21518.729525191946,-21474.693851308584,-21922.493837055004,-21933.28774673264,-21932.848787037987
17,0.9369608998007146,0.9368050734856231,0.9292251565597962,0.9293707300512797,3.988129970205474e-07,1.4248659552984966e-05,-3.126884135904983e-05,0.0019924495517036366,-21533.18846851928,-21486.87567494931,-21486.464320899602,-21944.095090075236,-21942.549109194977
18,0.9369609003131126,0.9370485090326381,0.0012177632818569364,0.0037947220721464294,0.004378708812388645,0.0006537540413277913,-2.3785021211960892e-05,0.002886946034082725,-21715.17642138797,-21665.13343162535,-22104.172216775583,-22110.550666795476,-22107.89109992491
19,0.9486233917305806,0.9486151339261595,0.9486233917305806,0.9486151339261595,6.708626462644657e-05,-0.0027968841529767245,6.708626462644657e-05,-0.0027968841529767245,-21652.586864971618,-21604.10049762286,-21604.093632581385,-21998.06903535632,-21998.244297713612
20,0.9369609616037311,0.9374528611267052,0.9292252259468718,0.929612827899389,0.0,0.0,-0.0006240655683622264,-0.0018760860984303768,-21673.052037102927,-21635.769830992835,-21636.7365499119,-22107.45779374642,-22097.519445921305
21,0.9253693170423951,0.9255330775714224,0.9253693170423951,0.9255330775714224,0.0,0.0,-0.0008290472367752295,-0.00023204711497027468,-21622.127511167644,-21581.97685446005,-21581.93564679805,-21989.91596438805,-21987.500519001573
22,0.0026651316070555944,0.008970940010781393,0.9292251803877909,0.9288852952195759,0.00025437188791813846,-0.0002819723390410809,-0.0009635155120188717,0.0001531051327019831,-21520.46178287629,-21942.10253230818,-21485.133997577457,-21943.917489364623,-21943.411340267052
23,0.9176816181365737,0.9174488845712354,0.9176816181365737,0.9174488845712354,0.0,0.0,-0.00014625922647088077,-0.0008303268093078039,-21655.05154453096,-21604.655752876253,-21604.8281995037,-22032.449986864514,-22023.94600577415
24,0.952528507294808,0.9533713093522426,0.952528507294808,0.9533713093522426,-0.00010687126806335873,-0.0003060987389859714,-0.00010687126806335873,-0.0003060987389859714,-21407.938714805263,-21373.186377627495,-21373.22731215855,-21875.3128713607,-21875.312871679464
25,0.9408385446805938,0.9409524579608386,0.9408385446805938,0.9409524579608386,-0.0015035206708007742,-0.0005415976396986452,0.0,0.0,-21343.046981518342,-21292.845424676903,-21292.8809981776,-21710.394386101383,-21713.787079288846
26,0.9292251645206175,0.9296129725222115,0.9253693056135827,0.9260978210070601,0.03397457827656135,0.03508291445469008,0.039359043675905786,0.041174290478524195,-21832.590565983297,-21781.35291820267,-21786.42271377927,-22273.61151355776,-22273.617019261026
27,0.0020133134654312613,-7.22339218289947e-05,-8.99856243802403e-05,-0.002973367775986558,0.0006723634944121706,1.2694135760576465e-05,0.0006723634944121706,1.2694135760576465e-05,-21565.56118701297,-21941.433310941717,-21936.38788278393,-21939.761425089415,-21939.761421877964
28,0.9369609595420155,0.9370468312256524,0.9369609595420155,0.9370468312256524,0.8986026018808326,0.8981731870554235,0.004166871329760463,0.011878271908540957,-21600.670315726988,-21558.999335571134,-21559.123963807433,-21590.912990040088,-22037.198626462156
29,0.9642877924081075,0.9643214407587244,0.9603597730462622,0.9605638650011488,0.1239406531217842,0.1406078391497127,-0.0008650804630605566,-0.0027979770404528183,-21333.395581864606,-21300.44234936039,-21300.764033606316,-21772.693143123972,-21772.896045907
30,0.9100259720979196,0.910094094813263,0.9062101581901683,0.9061745532536294,0.05303344624948954,0.06054805617243712,-0.00018262111667360928,-0.00031652525457067103,-21421.20538988166,-21368.189082874454,-21367.453069741205,-21762.216558024968,-21757.23024918452
31,0.9408407818002373,0.9408863896164938,0.9408407818002373,0.9408863896164938,0.8573331955270591,0.8573278601862435,0.0,0.0,-21375.29393726928,-21337.793744655173,-21337.839470249222,-21379.12845370963,-21850.16172409457
32,0.9408407969146431,0.9410477894309233,0.9408407969146431,0.9410477894309233,0.08674834299967239,0.08531894505633673,0.08793997395211096,0.08666182271213098,-21451.008822066946,-21408.824191261752,-21408.81924362285,-21934.295495177157,-21934.29571904108
33,0.9486239017819735,0.9487211563285765,0.006814991474876077,0.004779291838463791,0.001493256048563509,0.00136732265508563,0.0,0.0,-21315.2335956326,-21264.883925237977,-21770.028890940954,-21772.33305254045,-21777.394608532773
34,0.9525284868556216,0.9523217897556441,0.9525284868556216,0.9523217897556441,0.052047881570689306,0.06446719296354934,-3.1746150611227006e-05,-0.0003636363636363636,-21413.692456864606,-21375.49717516206,-21375.501367183588,-21914.22355085265,-21913.24367091422
35,0.9024023648592311,0.9025807710105983,-0.00016808568516778227,0.006257555054071896,6.504084401762031e-05,0.00025538476364862913,6.504084401762031e-05,0.00025538476364862913,-21719.18195238166,-21654.224862455078,-22022.470844850657,-22027.50694605315,-22027.512314070347
36,0.9447267117763397,0.9451864945793018,0.007527228250647552,0.009466951209602347,0.0010674328090801244,0.0004996439210613266,0.0007468560848970224,0.00019336732511361843,-21324.36122940502,-21267.484527548982,-21644.047540267784,-21647.946951469803,-21647.625286475843
37,0.9062101763782436,0.9059326673025174,0.8986025660264105,0.8986593166633442,0.8834834414535044,0.8848400957159595,-0.0005673311286112641,-0.0011481800331343294,-21556.97341953096,-21496.987309768465,-21501.368928232063,-21537.65385778105,-21998.973485559178
38,0.9369591785816831,0.9366424248980195,0.9330868908934776,0.933128724327737,0.9253677786535158,0.9249663304033163,0.0,0.0,-21503.76451725129,-21464.565615713633,-21469.299466213444,-21495.692556659706,-21980.086201645176
39,-0.0016415476180806092,0.0,0.9138403451544593,0.9140146703429919,0.0,0.0,0.0,0.0,-21499.61803287629,-21835.60427735939,-21455.14137653941,-21838.604532131158,-21836.802429035768
